
2023/11/30 (12:00:06) | ===> btop++ v.1.2.13
2023/11/30 (12:00:06) | INFO: Logger set to INFO
2023/11/30 (12:03:51) | INFO: Logger set to DEBUG
2023/11/30 (12:03:54) | INFO: Logger set to DEBUG
2023/11/30 (12:03:55) | INFO: Logger set to INFO
2023/11/30 (12:03:56) | INFO: Quitting! Runtime: 00:04:18

2023/11/30 (12:03:58) | ===> btop++ v.1.2.13
2023/11/30 (12:03:58) | INFO: Logger set to INFO
2023/11/30 (12:03:58) | INFO: Running on /dev/pts/1
2023/11/30 (12:04:34) | INFO: Quitting! Runtime: 00:00:36
